ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JW3A6;ВертолетБ1;109.8;1000;59.34;49.88;25.07.2019;182;15.01.2026
RU000A0JUAT3;ВертолетБ2;97;1000;37.4;6.99;21.11.2019;182;16.11.2023
RU000A0ZYMN9;ВертолетБ3;100.25;1000;43.88;43.64;27.06.2019;182;16.12.2027
RU000A0ZYMM1;ВертолетБ4;103;1000;43.88;43.64;27.06.2019;182;16.12.2027
RU000A0JUP89;ВлгОб35005;100.11;100;3.23;2.78;13.07.2019;121;13.07.2019
RU000A0JVU65;ВлгОб35006;102.49;550;16.44;9.76;02.08.2019;91;30.10.2020
RU000A0JXSD3;ВлгОб35007;101.15;1000;22.19;4.15;08.09.2019;91;02.06.2024
RU000A0JXUU3;ВолгКапПБ1;44.75;1000;42.38;41.22;01.07.2019;182;27.06.2022
RU000A0JRJC6;ВолгСпорт1;100;1000;51.6;45.8;06.08.2019;365;04.04.2022
RU000A0JT593;ВолгСпорт2;100;1000;90;73.73;31.08.2019;365;29.02.2024
RU000A0JUWU5;Волгогр_07;101.47;200;6.11;4.43;21.07.2019;91;10.10.2019
RU000A0JVVR1;Волгогр_08;105.5;400;13.54;6.99;09.08.2019;91;19.10.2020
RU000A0JV3M2;Волжск2014;103.25;200;7.48;5.18;24.07.2019;91;24.12.2019
RU000A0JUWK6;ВоронежОб7;101.39;300;8.79;7.05;14.07.2019;91;14.10.2019
RU000A0JV102;ВостЭксБ_3;90;0.01;0;0;28.11.2019;182;28.05.2020
RU000A0ZZXT0;ВсИнстрБО1;101.3;1000;31.16;4.45;12.09.2019;91;09.12.2021
RU000A0JVUN2;ВымпелКБО2;0;1000;4.99;2.05;11.10.2019;182;03.10.2025
RU000A0JVUP7;ВымпелКБО3;91.5;1000;4.99;2.05;11.10.2019;182;03.10.2025
RU000A0JS5E9;ВымпелКом1;99.45;1000;34.9;20.33;10.09.2019;182;08.03.2022
RU000A0JS5M2;ВымпелКом2;99.35;1000;34.9;19.18;16.09.2019;182;14.03.2022
RU000A0JS5F6;ВымпелКом4;99.4;1000;34.9;20.33;10.09.2019;182;08.03.2022
RU000A0JXJE0;ГИДРОМАШБ1;101.7;1000;53.6;37.4;20.08.2019;182;09.02.2027
RU000A0JV1H6;ГПБ_1-ИП-А;0;397.54;9.02;3.14;25.08.2019;92;27.04.2048
RU000A0JV1N4;ГПБ_1-ИП-Б;0;397.54;3.01;1.05;25.08.2019;92;27.04.2048
RU000A0JT6G1;ГПБ_11;99.8;1000;30.92;12.91;10.10.2019;182;10.10.2019
RU000A0JT6J5;ГПБ_12;99.99;1000;37.5;15.66;10.10.2019;182;06.10.2022
RU000A1000A0;ГПБ_1P-04P;0;1000;164.22;40.44;28.12.2020;731;28.12.2020
RU000A1002E8;ГПБ_1P-05P;103.21;1000;45.37;36.6;31.07.2019;181;31.01.2023
RU000A1003R8;ГПБ_1P-06P;0;1000;44.88;32.73;14.08.2019;181;14.02.2024
RU000A1007E7;ГПБ_1P-07P;0;1000;45.62;22.81;26.09.2019;184;26.03.2023
RU000A100832;ГПБ_1P-08P;0;1000;44.87;20.84;02.10.2019;183;02.04.2023
RU000A0JW5K0;ГПБ_2-ИП;100.75;1000;21.74;7.88;23.08.2019;91;19.02.2021
